Activity	HOR RANGE	VER RANGE	HOR MEAN	VER MEAN	HOR STD DEV	VER STD DEV	
CLASSIFIED/WALKING	6.174834	14.287084	1.880041	10.695624	1.2734356	3.885796	
CLASSIFIED/WALKING	5.0049157	11.407761	1.6649789	10.555599	1.0257441	2.9509995	
CLASSIFIED/WALKING	4.4655027	12.757299	1.7150227	10.15542	1.0522726	3.3617213	
CLASSIFIED/WALKING	4.760059	12.082193	1.671877	10.406423	0.98477536	3.4231632	
CLASSIFIED/WALKING	4.0718274	11.918117	1.6165701	10.332209	0.94650537	3.160513	
CLASSIFIED/WALKING	5.1269474	10.618234	1.6533524	9.890525	1.0243537	3.215354	
CLASSIFIED/WALKING	4.092969	11.998726	1.7068422	10.346476	0.92386955	3.2244205	
CLASSIFIED/WALKING	3.9299736	11.723946	1.7573581	10.45181	1.003802	3.2137089	
CLASSIFIED/WALKING	9.374378	16.860035	4.6383376	7.426185	3.0752723	4.0024557	
CLASSIFIED/WALKING	5.8194036	13.996082	1.8864566	9.977444	1.3145405	3.8210776	
CLASSIFIED/WALKING	5.251194	13.86997	1.8131378	10.332473	1.2084924	3.747433	
CLASSIFIED/WALKING	4.452602	14.146775	1.6182318	10.504464	1.1005049	3.8272278	
CLASSIFIED/WALKING	6.661831	14.393685	1.9632193	10.62264	1.5183253	3.9253635	
CLASSIFIED/WALKING	5.8034425	15.194881	1.8682781	10.614772	1.2969733	3.777713	
CLASSIFIED/WALKING	6.174834	14.287084	1.880041	10.695624	1.2734356	3.885796	
CLASSIFIED/WALKING	9.374378	16.860035	4.6383376	7.426185	3.0752723	4.0024557	
CLASSIFIED/WALKING	5.8194036	13.996082	1.8864566	9.977444	1.3145405	3.8210776	
CLASSIFIED/WALKING	5.251194	13.86997	1.8131378	10.332473	1.2084924	3.747433	
CLASSIFIED/WALKING	4.452602	14.146775	1.6182318	10.504464	1.1005049	3.8272278	
CLASSIFIED/WALKING	6.661831	14.393685	1.9632193	10.62264	1.5183253	3.9253635	
CLASSIFIED/WALKING	10.612195	7.1732006	2.4331348	9.036241	2.5237553	1.6319871	
CLASSIFIED/WALKING	10.220429	11.08075	4.1788898	8.30428	2.5632176	2.1969504	
CLASSIFIED/WALKING	7.516704	6.2936625	4.286506	8.55823	1.7971765	1.4168545	
CLASSIFIED/WALKING	9.558257	13.15834	2.6939213	9.11428	2.0955656	1.5729251	
CLASSIFIED/WALKING	2.011658	1.6266136	0.73856354	9.669264	0.4810514	0.3085532	
CLASSIFIED/WALKING	4.2939806	2.7912483	1.4432746	9.372977	0.90987855	0.47972605	
CLASSIFIED/WALKING	10.723712	10.863352	3.5244005	8.951773	1.9537182	1.5933105	
CLASSIFIED/WALKING	4.513764	16.484964	2.1337128	10.320258	0.98451805	3.2181447	
CLASSIFIED/WALKING	4.9416003	17.012684	2.48362	10.225936	1.0052781	3.0429287	
CLASSIFIED/WALKING	4.9571953	16.092886	2.193928	10.220452	1.1554933	3.1728675	
CLASSIFIED/WALKING	6.289847	17.476246	2.5920117	10.140283	1.2995553	3.0850346	
CLASSIFIED/WALKING	6.301442	20.573723	2.6508443	10.305679	1.5018384	3.44466	
CLASSIFIED/WALKING	5.7229247	17.860893	2.2138104	10.01472	1.1860093	3.070624	
CLASSIFIED/WALKING	5.897264	16.370955	2.5246708	10.041662	1.308534	3.3739696	
CLASSIFIED/WALKING	7.6077375	18.705154	2.6899352	9.009663	1.7114873	4.175612	
CLASSIFIED/WALKING	8.019138	18.46098	2.827749	8.927307	1.7654067	4.460978	
CLASSIFIED/WALKING	8.932059	22.181273	3.1872559	8.921176	1.875045	5.1574287	
CLASSIFIED/WALKING	8.270571	21.530807	3.2591772	9.017274	1.8798062	5.207196	
CLASSIFIED/WALKING	8.762093	21.570805	3.0207334	9.048671	2.0425944	5.2832685	
CLASSIFIED/WALKING	8.779017	22.639408	2.9435775	9.131591	1.8397326	5.0343494	
CLASSIFIED/WALKING	8.393704	19.470882	2.8382561	8.797133	1.8964249	4.829622	
CLASSIFIED/WALKING	12.121305	20.914122	2.9247336	9.047772	2.140476	4.78624	
CLASSIFIED/WALKING	7.8197217	19.761599	2.5740554	8.413995	1.8218427	4.882651	
CLASSIFIED/WALKING	7.8074126	20.667227	2.7154768	8.299624	1.8250383	5.162573	
CLASSIFIED/WALKING	9.981717	22.17846	2.8445098	8.731499	2.103778	5.347867	
CLASSIFIED/WALKING	10.024909	21.627472	2.7069237	8.827337	1.918666	5.011423	
CLASSIFIED/WALKING	8.241573	20.64661	2.5666056	8.564262	1.7637353	5.0897317	
CLASSIFIED/WALKING	11.845787	19.365513	2.8698897	8.655236	2.0717056	4.791574	
CLASSIFIED/WALKING	8.4053135	21.646217	3.043033	10.112033	1.7639408	5.0737643	
CLASSIFIED/WALKING	7.511974	20.766514	3.0268128	10.019723	1.6914023	4.9650054	
CLASSIFIED/WALKING	12.050892	22.066227	3.115439	10.053612	1.8891287	5.0984473	
CLASSIFIED/WALKING	7.085699	20.197493	3.0864491	9.850804	1.644361	4.9661264	
CLASSIFIED/WALKING	6.942889	21.097961	2.8761678	10.088356	1.6877574	4.924655	
CLASSIFIED/WALKING	6.84143	21.446924	2.7265525	10.095343	1.722955	4.8899965	
CLASSIFIED/WALKING	7.2940874	20.656946	2.9582117	9.987447	1.7331089	4.774795	
CLASSIFIED/WALKING	8.88943	20.01876	2.6752996	9.976585	1.936353	4.679508	
CLASSIFIED/WALKING	9.301538	21.332935	2.840536	10.218226	1.9547265	5.0198336	
CLASSIFIED/WALKING	9.037143	21.370275	2.808431	10.210316	1.9978899	4.852258	
CLASSIFIED/WALKING	9.203776	20.958744	2.6255167	10.017591	1.9286207	4.626932	
CLASSIFIED/WALKING	9.472956	21.038984	2.8287952	9.771457	2.076239	4.853381	
CLASSIFIED/WALKING	8.749129	20.890978	2.741676	10.188889	1.9762232	4.649533	
CLASSIFIED/WALKING	8.125611	21.777061	2.7565532	10.05064	1.9354427	4.692219	
CLASSIFIED/WALKING	8.230756	22.22347	3.02427	10.506046	1.8732244	5.071974	
CLASSIFIED/WALKING	8.609352	22.29599	2.927198	9.851097	1.8786693	4.8804083	
CLASSIFIED/WALKING	8.130083	22.686213	3.0671573	10.116588	1.8528374	5.0746884	
CLASSIFIED/WALKING	10.756646	21.468006	3.217565	10.16369	2.0048246	5.041277	
CLASSIFIED/WALKING	7.7413664	22.789042	3.2567756	9.991431	1.9148409	5.4939723	
CLASSIFIED/WALKING	7.339325	23.284462	3.109504	9.824494	1.7837881	5.3287315	
CLASSIFIED/WALKING	7.3025584	21.712818	3.000029	10.374023	1.7228863	4.907118	
CLASSIFIED/WALKING	7.701888	18.969679	2.9985883	9.955204	1.6180902	3.9127977	
CLASSIFIED/WALKING	8.080604	18.38244	2.6856623	9.614573	1.5996236	4.0478916	
CLASSIFIED/WALKING	10.708841	17.845484	2.9119377	9.748848	1.9161116	3.5665426	
CLASSIFIED/WALKING	8.171149	16.435068	2.9671829	9.5835495	1.7858955	3.2763991	
CLASSIFIED/WALKING	8.333277	18.141468	2.9776793	9.574262	1.861277	3.666562	
CLASSIFIED/WALKING	7.895098	18.959522	2.7874134	9.77931	1.5853163	3.377916	
CLASSIFIED/WALKING	6.3344116	12.812957	2.284289	9.901003	1.2830441	2.3562477	
CLASSIFIED/WALKING	14.764018	18.629625	3.738348	9.836611	2.5086985	4.6268687	
CLASSIFIED/WALKING	11.395121	19.47717	3.9553409	10.022849	2.5944533	4.5797577	
CLASSIFIED/WALKING	10.622556	18.283895	4.2675543	9.5189	2.7721868	4.3821464	
CLASSIFIED/WALKING	12.410141	18.11403	4.260732	9.605488	2.6206574	4.4046917	
CLASSIFIED/WALKING	11.612459	19.169683	4.0972123	9.492746	2.7381978	4.5914435	
CLASSIFIED/WALKING	10.428026	20.244791	4.2269197	9.288366	2.569909	4.6621976	
CLASSIFIED/WALKING	12.121931	19.413227	4.3329663	9.555336	2.572155	4.7056665	
CLASSIFIED/WALKING	10.944777	17.543375	2.9936118	10.36836	2.0979507	4.001608	
CLASSIFIED/WALKING	11.347369	16.01774	2.5029132	9.948057	1.8039513	2.6823776	
CLASSIFIED/WALKING	7.9829745	22.680231	2.9442756	10.03772	1.737129	4.4511666	
CLASSIFIED/WALKING	10.755278	15.179729	2.8409882	10.086447	1.7902597	3.4105392	
CLASSIFIED/WALKING	8.937959	14.715629	2.3494167	9.792752	1.6307045	3.1647143	
CLASSIFIED/WALKING	9.61281	14.2352	2.8275201	9.638759	1.77556	3.031978	
CLASSIFIED/WALKING	9.539685	16.39947	2.4286819	9.579154	1.74828	3.147183	
CLASSIFIED/WALKING	13.112263	11.548265	4.8841953	9.733583	2.3882499	2.4552686	
CLASSIFIED/WALKING	2.989424	2.6420689	1.1651952	10.426576	0.5526508	0.5584718	
CLASSIFIED/WALKING	2.3967977	2.9731922	0.6687328	10.433413	0.47338387	0.34574184	
CLASSIFIED/WALKING	2.855415	4.4533253	1.2279059	10.403426	0.59331197	1.0338436	
CLASSIFIED/WALKING	3.696567	3.0691147	1.0592228	10.494798	0.59909457	0.6440763	
CLASSIFIED/WALKING	2.096105	4.493529	0.53886503	10.460168	0.3243201	0.45730335	
CLASSIFIED/WALKING	1.7720339	2.4744225	1.0397938	10.447525	0.37875086	0.42933524	
CLASSIFIED/WALKING	2.4815066	4.9384327	1.6781793	10.634444	0.601627	1.3020588	
CLASSIFIED/WALKING	3.9191298	6.15097	1.6191584	9.972479	0.87894887	1.3241382	
CLASSIFIED/WALKING	2.9796352	5.523154	1.8542783	9.983371	0.8654001	1.3064057	
CLASSIFIED/WALKING	2.1327028	5.4160366	1.5173508	9.894231	0.52739125	1.3232875	
CLASSIFIED/WALKING	10.883543	7.71673	7.333864	6.3007674	2.3048801	1.9297359	
CLASSIFIED/WALKING	0.61796284	0.80227375	0.09685024	10.002815	0.08205936	0.16890897	
CLASSIFIED/WALKING	4.8310847	8.666849	1.9052931	10.168464	1.01708	1.8515921	
CLASSIFIED/WALKING	4.934168	9.215269	1.9546034	10.185075	1.1372439	1.9820987	
CLASSIFIED/WALKING	5.244273	10.118392	1.836112	10.170453	1.1333969	2.0674443	
CLASSIFIED/WALKING	15.053711	16.549013	5.414236	7.931855	3.1047962	3.0789907	
CLASSIFIED/WALKING	11.504393	17.193542	3.319373	8.228681	3.017904	3.8328977	
CLASSIFIED/WALKING	24.565147	40.65909	5.94796	5.3971167	4.331311	6.334009	
CLASSIFIED/WALKING	9.94298	10.356516	5.3628426	7.3618326	2.3792298	2.5637238	
CLASSIFIED/WALKING	17.67892	18.628525	5.5615826	8.056151	3.4168644	3.080826	
CLASSIFIED/WALKING	13.475143	23.35479	4.8051977	10.626652	3.796588	5.3476577	
CLASSIFIED/WALKING	9.586935	26.74873	4.489381	12.620232	2.040858	7.247323	
CLASSIFIED/WALKING	10.706226	15.005758	4.4382925	8.590162	2.4989388	2.2286358	
CLASSIFIED/WALKING	1.0369453	3.4828262	0.8245696	22.263838	0.23521274	1.4428598	
CLASSIFIED/WALKING	3.9648428	4.1016216	1.6223297	21.369558	0.7355393	1.4353381	
CLASSIFIED/WALKING	2.4273694	5.128809	0.9271913	22.857378	0.568307	1.4492584	
CLASSIFIED/WALKING	1.81217	1.0110531	0.914732	23.78888	0.4337284	0.17050317	
CLASSIFIED/WALKING	2.4745038	1.1657677	0.85674936	23.705853	0.5154895	0.17514262	
CLASSIFIED/WALKING	1.8754661	1.1026363	0.25033444	23.687473	0.30507123	0.095363714	
