Activity	HOR RANGE	VER RANGE	HOR MEAN	VER MEAN	HOR STD DEV	VER STD DEV	
CLASSIFIED/STATIONARY	5.6434994	6.0516376	3.8662999	8.781402	1.8081548	1.1498905	
CLASSIFIED/STATIONARY	8.031451	6.6480637	3.879608	9.094458	1.7160395	1.2417951	
CLASSIFIED/STATIONARY	11.334159	8.253207	1.1525863	9.610806	1.6896577	1.0062001	
CLASSIFIED/STATIONARY	1.3312247	0.9292917	0.40066713	9.82434	0.2277023	0.14643432	
CLASSIFIED/STATIONARY	2.2449186	0.8707533	0.3296636	9.844716	0.457405	0.108140245	
CLASSIFIED/STATIONARY	0.20859781	0.288949	0.090503246	9.801476	0.07222705	0.07708081	
CLASSIFIED/STATIONARY	0.07643887	0.10858631	0.03328029	9.827187	0.019904844	0.03883371	
CLASSIFIED/STATIONARY	1.3672781	0.1956377	0.30027887	9.774357	0.3592887	0.046079885	
CLASSIFIED/STATIONARY	1.553656	0.66132355	0.6577421	9.8091	0.39153546	0.091946416	
CLASSIFIED/STATIONARY	0.14231151	0.49267578	0.046248045	9.808741	0.031494606	0.072042175	
CLASSIFIED/STATIONARY	0.1244164	0.09674358	0.04478828	9.825618	0.031260975	0.03235485	
CLASSIFIED/STATIONARY	6.8328743	13.426521	1.413694	10.0297785	1.6286057	1.7471634	
CLASSIFIED/STATIONARY	5.1623793	15.086524	1.9191976	10.005067	0.9945201	1.7507296	
CLASSIFIED/STATIONARY	0.0578766	0.15502739	0.033205353	10.194377	0.0137168905	0.031829234	
CLASSIFIED/STATIONARY	0.1459536	0.1275301	0.034095947	10.187897	0.016803052	0.026884306	
CLASSIFIED/STATIONARY	0.15418293	0.16472435	0.032696452	10.204907	0.02545642	0.030996246	
CLASSIFIED/STATIONARY	0.08986705	0.16410923	0.032865956	9.558507	0.018161234	0.032207135	
CLASSIFIED/STATIONARY	0.06484949	0.109726906	0.014567996	9.573159	0.01648206	0.013743621	
CLASSIFIED/STATIONARY	0.04497848	0.10883331	0.019251654	9.5733385	0.0153155085	0.00791106	
CLASSIFIED/STATIONARY	0.05245074	0.108828545	0.008253804	9.572807	0.012982191	0.008382952	
CLASSIFIED/STATIONARY	0.11954569	0.10883236	0.019523926	9.5729475	0.01886232	0.009883927	
CLASSIFIED/TRAVELLING	6.0116305	6.8347855	2.1546042	9.652356	1.7420706	1.1461675	
CLASSIFIED/TRAVELLING	3.7744768	10.313858	0.94812965	9.886244	0.669137	1.5737967	
CLASSIFIED/TRAVELLING	1.9085598	10.894256	0.69162226	9.846967	0.36824268	1.5467423	
CLASSIFIED/TRAVELLING	3.475025	10.323404	1.1839345	10.219785	0.6821075	1.4426228	
CLASSIFIED/TRAVELLING	1.5763547	0.67628	0.5221474	9.935147	0.3790966	0.10678522	
CLASSIFIED/TRAVELLING	1.5552447	0.6289568	0.45358706	9.953517	0.40230772	0.10721082	
CLASSIFIED/TRAVELLING	2.5126657	2.291216	1.611581	10.099298	0.7644642	0.4748685	
CLASSIFIED/TRAVELLING	2.7720783	5.7446256	1.0237169	9.396258	0.5167746	1.1858071	
CLASSIFIED/TRAVELLING	2.4941657	6.2948184	1.0351636	9.280548	0.5688684	1.1090429	
