"TIME","X","Y","Z","AZIMUTH","PITCH","ROLL"
3774,-2.4516625,-7.3958488,-0.0,-1.9747506,1.2507042,1.5707964
3814,-3.405087,-8.308413,0.5720546,-1.6025493,1.1769321,1.4043506
3853,-2.6014864,-9.084772,0.50395286,-1.8539621,1.2869898,1.3794491
3896,-0.88532263,-9.302697,0.10896278,-2.2999728,1.4752021,1.4483353
3938,-1.0351465,-9.847511,0.46309182,-1.9698799,1.4561445,1.150133
3978,-1.2666923,-9.615966,0.313268,-2.1657567,1.4359236,1.3283492
4018,-1.920469,-10.501288,-0.040861044,-2.4568412,1.3898758,1.5920697
4057,-3.1054392,-11.141444,0.313268,-2.1828802,1.2976551,1.4702592
4098,-6.1700177,-12.912089,0.8036005,-1.738293,1.1217462,1.4412825
4139,-5.325556,-12.639683,2.070293,-1.5799695,1.146236,1.2000284
4178,-3.0645783,-13.021052,1.879608,-1.7764039,1.3014103,1.0206306
4218,0.7627395,-16.467001,-3.336985,1.3259703,1.3658421,-2.9168816
4258,5.7886477,-15.5135765,-0.27240697,0.21383318,1.2132996,-1.6178205
4300,2.070293,-9.956474,1.3756552,-0.23261572,1.326144,-0.9843135
4340,-5.202973,-8.049625,-2.8330324,0.66522694,0.9363359,2.0694091
4379,-1.7570249,-4.630918,-2.2201166,1.130965,1.0220492,2.4721107
4422,3.173541,-4.099725,-0.38136974,0.21376152,0.9085842,-1.6903945
4464,2.4925237,-3.8273177,0.6537767,0.02566346,0.9782325,-1.3142797
4506,0.42223078,-3.6774938,0.53119355,-0.42749912,1.3883317,-0.6716062
4552,-2.5606253,-6.932757,6.932757,-0.5306355,0.75344914,0.3538095
4593,-12.980191,-17.883516,12.217452,-0.53198594,0.7870205,0.81565917
4633,-2.6423476,-12.980191,4.4810944,-0.9158804,1.1896223,0.5327861
4673,3.5276701,-18.074202,-1.607201,0.43844977,1.3595178,-1.9982961
4740,2.7240696,-3.9771416,-0.6946377,0.21087632,0.9554881,-1.8204753
4782,0.46309182,-7.5865335,-4.4810944,0.7283347,1.0349406,-3.0386147
4823,-0.08172209,-13.593107,-4.7126403,1.1027342,1.2370237,3.1242533
4863,-1.3756552,-9.847511,0.61291564,-2.1559076,1.419038,1.1516538
4903,-2.4516625,-6.742072,-0.19068487,-2.2417703,1.2210556,1.6484178
4947,-3.7864566,-8.240311,0.19068487,-1.1972429,1.1395863,1.5204791
4987,-1.6889231,-9.575105,2.7240696,-1.1017743,1.2477816,0.5549957
5029,-0.7627395,-10.228881,0.6946377,-1.9324323,1.4702796,0.8320932
5384,10.18802,-12.340035,-0.53119355,0.016596088,0.8799687,-1.6228882
5427,-3.9499009,-8.390134,-1.2258313,1.998591,1.1128212,1.8717166
5474,-2.8738933,-5.175732,-2.9147544,0.74834234,0.9016517,2.363253
5515,3.486809,-2.8738933,-0.46309182,0.19869643,0.6850477,-1.702836
5554,4.0180025,-3.486809,1.1441092,-0.003591028,0.69549733,-1.2933923
5595,2.1111538,-3.5957718,0.38136974,0.032774292,1.0328629,-1.3920785
5636,0.10896278,-5.053149,3.445948,-0.6152743,0.9720612,-0.031610023
5677,-9.234595,-16.970953,16.208214,-0.62174,0.7381811,0.5178782
5718,-7.7363577,-14.601013,4.5219555,-0.97682065,1.0203468,1.0418466
5758,3.336985,-15.472715,0.95342433,-0.07514448,1.350149,-1.2924967
5797,5.6660647,-11.264028,-1.7570249,0.27147603,1.0860543,-1.8714898
5839,1.6889231,-2.4925237,-1.8387469,0.47461724,0.7845635,-2.39864
5880,0.6946377,-8.158588,-3.8273177,0.9465004,1.1258975,-2.9620523
5921,0.42223078,-14.669114,-4.9850473,1.1849276,1.242117,-3.0570948
5962,-0.84446156,-9.384419,0.040861044,-2.752814,1.4809482,1.522447
6002,-2.0294318,-7.246025,-0.84446156,2.9122314,1.2762647,1.9651108
6041,-3.1054392,-9.043911,0.3405087,-2.2027695,1.2381972,1.4615835
6081,-2.2201166,-9.00305,2.3426998,-1.3652558,1.2265723,0.75853896
6120,-1.525479,-9.425281,0.313268,-2.409048,1.4070483,1.368255
6159,-2.1383946,-9.915613,1.4573772,-1.7000918,1.3155091,0.97257507
6199,-2.1792557,-10.56939,1.56634,-1.658656,1.3221333,0.947597
6238,-3.336985,-10.882658,0.040861044,-2.237151,1.2732441,1.558552
6277,-5.09401,-10.95076,0.3405087,-1.7188,1.1345423,1.5040507
6319,-8.19945,-13.021052,1.2666923,-1.2596003,1.0034884,1.4175229
6359,-4.099725,-12.762266,2.7649305,-1.373361,1.2011408,0.9774462
6398,-1.525479,-16.126492,-0.7218784,-3.0105546,1.4665242,2.0127866
6440,-1.2258313,-18.496431,0.42223078,-2.1958287,1.5008154,1.2390794
6481,8.471856,-13.375181,-1.607201,0.4125347,0.99815696,-1.758279
6520,0.19068487,-8.662541,-0.23154591,1.3278285,1.5361817,-2.4526682
