"TIME","X","Y","Z","AZIMUTH","PITCH","ROLL"
3984,1.607201,10.923519,-0.6537767,1.3053195,-1.4132736,-1.9571335
4023,1.4573772,11.876944,-0.19068487,1.5989372,-1.4476697,-1.7008984
4065,1.5390993,13.0619135,1.9477097,2.6761632,-1.3829858,-0.6687427
4105,-0.38136974,12.912089,2.5333846,-2.4632874,-1.3749275,0.14941572
4144,-2.3018389,9.302697,2.2609777,-1.4598329,-1.2369413,0.7943531
4183,-2.6832085,7.5456724,3.568531,-1.1975887,-1.0365041,0.6447213
4223,-4.5628166,7.5456724,4.903325,-0.88055134,-0.84484756,0.74944246
4265,-3.173541,8.771504,1.7297841,-1.183292,-1.1799402,1.0717504
4305,2.2609777,9.697687,0.88532263,1.7197467,-1.3254578,-1.1975814
4345,3.445948,8.049625,-2.5606253,0.6585711,-1.080835,-2.2098558
4384,0.50395286,6.469665,-0.53119355,0.80242604,-1.4580997,-2.3825042
4423,-1.1168685,5.6252036,1.2258313,-1.7504171,-1.2841136,0.73892003
4465,-0.3405087,7.7363577,-0.23154591,-0.7735002,-1.5176189,2.167973
4506,1.8387469,9.384419,-0.84446156,0.9855315,-1.3584354,-2.0013235
4549,2.3018389,9.302697,0.27240697,1.4010638,-1.3266042,-1.453001
4589,1.4573772,10.147159,-0.46309182,1.1614867,-1.4212214,-1.8784633
4629,1.4573772,11.604536,-0.46309182,1.1866,-1.4397773,-1.8784633
4668,2.2201166,13.021052,1.3075534,1.9193299,-1.3754439,-1.0385362
4708,2.3426998,12.980191,3.568531,2.2734742,-1.253068,-0.5809231
4749,1.9477097,10.228881,3.636633,2.289136,-1.1874434,-0.49170524
4789,1.5390993,8.662541,4.3312707,2.2821455,-1.0829464,-0.34142935
4829,1.1168685,8.539958,4.7535014,2.5911016,-1.0513878,-0.23077123
4868,-0.46309182,9.043911,3.0237172,-2.5155976,-1.24464,0.1519723
4907,-1.56634,8.281172,0.9942854,-1.6280797,-1.3504012,1.0051932
4947,0.50395286,6.8237944,-1.3756552,0.41316462,-1.3593085,-2.790439
4986,1.9477097,6.238119,-0.46309182,1.1112078,-1.2602491,-1.8042244
5025,2.070293,7.0553403,1.4982382,1.8433454,-1.2232815,-0.94435114
5087,1.0351465,9.697687,1.334794,2.4989913,-1.3983464,-0.6596288
5120,1.3075534,10.038197,0.6537767,2.0088286,-1.4261807,-1.1071488
5159,2.0294318,10.419566,-0.5720546,1.1999131,-1.3711312,-1.8455467
5198,1.9477097,11.795221,0.42223078,1.6970068,-1.4034144,-1.3573164
5240,0.88532263,14.056199,1.7570249,2.737393,-1.4317278,-0.46674356
5281,-1.525479,13.525005,2.5606253,-2.2050579,-1.3538876,0.53728473
5324,-2.8330324,8.62168,1.4573772,-1.3817674,-1.2168361,1.095677
5364,-3.0237172,7.4639506,1.879608,-1.295992,-1.1257172,1.0146301
5404,-3.336985,7.4639506,5.243834,-1.047954,-0.8764055,0.5667292
5444,-0.10896278,7.6273947,2.4108016,-2.8500168,-1.264368,0.045166995
5484,2.4516625,8.158588,1.607201,1.6534797,-1.2258468,-0.99052554
5524,4.5219555,7.8180795,-3.0645783,0.5932379,-0.9609362,-2.166406
5566,1.3756552,8.158588,-3.636633,0.26861322,-1.1260691,-2.779952
5606,-0.38136974,7.4639506,1.7978859,-2.7255602,-1.3293637,0.20902295
5645,-0.3405087,8.853226,0.84446156,-2.6528087,-1.4683095,0.38328415
5685,2.1792557,9.80665,-1.4573772,0.7409124,-1.3095702,-2.16024
5736,2.2609777,9.697687,0.08172209,1.2704383,-1.3415977,-1.5346675
5779,2.1792557,11.958665,0.92618364,1.6695801,-1.3753175,-1.1689256
5820,2.3018389,14.410328,3.0237172,2.150119,-1.3129547,-0.65066946
5859,1.2666923,11.141444,4.0180025,2.4617207,-1.2092825,-0.3053921
5898,1.7297841,9.00305,3.9090397,2.0437884,-1.1275097,-0.41660672
5937,2.2201166,9.043911,4.2495484,1.8169062,-1.0833286,-0.48143482
5977,1.1441092,9.80665,3.636633,2.5574658,-1.2000237,-0.30480304
6016,-0.29964766,9.384419,1.6889231,-2.7893221,-1.3900102,0.17559217
6055,0.5720546,7.273266,-1.1168685,0.47122937,-1.3999496,-2.6682365
6095,1.7570249,5.829509,-0.95342433,0.8605458,-1.2404454,-2.067968
6134,1.6480621,6.2108784,1.3075534,1.9089571,-1.244204,-0.9000999
6174,0.3405087,7.014479,1.334794,2.9948463,-1.3768789,-0.24977478
6213,0.8036005,8.390134,0.8036005,2.3800187,-1.4361637,-0.7853982
6257,2.2609777,9.847511,0.8036005,1.7519529,-1.3317842,-1.2292997
6298,2.3699405,11.032481,-0.19068487,1.3883979,-1.3585337,-1.6510831
6337,2.2609777,12.4489975,0.3405087,1.6536994,-1.3891534,-1.4213172
6379,0.9942854,14.941522,1.9885708,2.7906828,-1.4230815,-0.4636476
6419,-2.1111538,12.571581,2.4925237,-1.9248586,-1.3165898,0.7027466
6459,-2.9147544,8.730643,1.1849703,-1.3172919,-1.2248975,1.1846629
6498,-3.9499009,8.008764,3.214402,-1.2363111,-1.0044168,0.88770133
6537,-3.5957718,7.205164,5.5571017,-1.0773607,-0.82777536,0.5743048
6576,0.040861044,7.273266,1.4165162,-2.9714253,-1.3783695,-0.028838158
6616,3.173541,7.5865335,1.334794,1.4644976,-1.1447808,-1.1726577
6655,4.9850473,7.246025,-4.7126403,0.5421783,-0.81275696,-2.328112
6694,0.23154591,7.668256,-1.2258313,0.27237576,-1.4095243,-2.9549034
6734,-1.0760075,7.164303,1.920469,-2.118681,-1.2726849,0.5107043
6774,-0.040861044,9.343558,0.10896278,-2.6402857,-1.5583427,0.35877067
6814,2.2201166,10.228881,-0.9125633,1.0560542,-1.3403023,-1.9607861
6854,2.1111538,9.956474,0.53119355,1.6592281,-1.3555367,-1.3243002
6893,1.56634,11.604536,0.14982383,1.6228757,-1.4360256,-1.4754343
6934,2.7921712,13.633968,1.879608,1.9956841,-1.3287617,-0.9783044
6975,1.7978859,12.108489,4.2904096,2.6228583,-1.2039988,-0.39681813
7014,1.6480621,9.152874,4.1814466,2.5240517,-1.1143352,-0.37544173
7053,2.3426998,9.343558,4.6036777,2.2075229,-1.065777,-0.4707229
7094,1.607201,9.656827,4.2904096,2.7010126,-1.1278069,-0.35842273
7134,-0.7218784,9.615966,2.070293,-2.3790095,-1.3466184,0.33550212
7174,-0.46309182,7.8180795,-1.3756552,-0.08503714,-1.387226,2.8168747
7213,1.2666923,5.8976107,-1.3075534,0.7471224,-1.271392,-2.3720663
7255,1.6889231,5.8976107,1.4165162,2.0346463,-1.2131104,-0.87289345
7297,0.9942854,7.0553403,1.334794,2.5804503,-1.3391237,-0.64022785
7336,1.1441092,8.894087,0.46309182,2.0535736,-1.4329022,-1.1861916
7377,1.8387469,9.888372,0.3405087,1.7803773,-1.3838917,-1.3876855
7418,2.152015,10.18802,0.08172209,1.6059417,-1.3624805,-1.5328399
7457,2.3018389,11.958665,0.6946377,1.8778937,-1.3723853,-1.2777117
7496,1.607201,15.935807,1.8387469,2.580159,-1.4187309,-0.71830535
7537,-1.525479,14.709975,2.7649305,-2.1201952,-1.3593328,0.504166
7578,-2.6423476,7.9679036,1.4165162,-1.3263053,-1.2109123,1.0787011
7617,-2.9147544,6.742072,2.3699405,-1.2708715,-1.062446,0.88812804
7656,-3.759216,6.701211,6.701211,-0.9262115,-0.7172096,0.5112307
7696,-1.334794,7.0553403,1.920469,-1.8465514,-1.2507055,0.6073863
7735,0.6946377,8.390134,1.4982382,2.8640249,-1.37645,-0.43413588
7776,4.671779,8.962189,-3.9090397,0.6710609,-0.973834,-2.2675385
7817,0.46309182,7.5456724,-1.9477097,0.35436893,-1.3114532,-2.9081647
7856,-0.19068487,6.5513873,2.1792557,-2.5636878,-1.2485256,0.08727771
7895,0.313268,9.112013,0.61291564,2.8791177,-1.4953986,-0.47249696
7935,1.607201,10.923519,-1.3756552,0.9025667,-1.3794963,-2.2787242
7974,0.84446156,9.656827,0.5720546,2.279115,-1.4655637,-0.97538644
8013,0.88532263,10.882658,0.3405087,2.0530608,-1.4838556,-1.2036225
8055,2.7649305,13.6748295,1.4573772,1.9890687,-1.3460972,-1.0857095
8095,2.3426998,13.0619135,5.053149,2.6420138,-1.1677282,-0.43411568
8135,2.2201166,9.847511,4.862464,2.4849176,-1.0734905,-0.42831457
8174,2.2201166,9.343558,5.284695,2.4246287,-1.0205233,-0.3977156
8213,1.2258313,9.302697,4.3312707,3.0591695,-1.1201271,-0.2758059
8259,-1.0760075,8.689782,1.920469,-2.0987592,-1.3226883,0.5107043
8300,-0.19068487,6.932757,-1.4982382,0.11920699,-1.3562948,3.0150006
8340,1.6889231,5.829509,-1.2666923,0.9179535,-1.2233391,-2.2142975
8379,1.920469,6.3198414,1.56634,2.1451578,-1.1970887,-0.8866136
8419,0.61291564,7.3958488,1.7297841,3.092374,-1.3275745,-0.34052768
8458,0.08172209,9.466142,0.9942854,-2.8848293,-1.4657937,-0.082007445
8497,1.5390993,10.147159,0.14982383,1.8135492,-1.4195653,-1.4737569
8537,2.1792557,10.419566,-0.10896278,1.601914,-1.3643681,-1.6207547
8577,2.070293,11.727119,1.1849703,2.20847,-1.3701226,-1.0509421
8617,0.9942854,14.7916975,2.5333846,3.045358,-1.3888421,-0.37400094
8656,-2.1111538,12.9529505,2.3699405,-1.8562495,-1.3304983,0.7277115
8696,-2.9556155,8.430995,1.0351465,-1.2488425,-1.2151469,1.2339163
8735,-3.255263,7.8589406,2.7921712,-1.3841211,-1.071253,0.8618256
8778,-3.6774938,7.7772183,6.469665,-1.1523331,-0.80743337,0.5168759
8818,-0.6946377,7.9270425,1.7978859,-2.3402178,-1.3322808,0.36869588
8858,1.879608,8.158588,1.0760075,1.9534763,-1.3113177,-1.0508702
8897,4.399372,7.668256,-4.630918,0.5678158,-0.87626857,-2.38183
8936,0.10896278,7.5456724,-1.3075534,0.20551883,-1.3986318,-3.0584514
8998,-0.6537767,7.205164,2.1111538,-2.4052444,-1.2731732,0.30031136
