"TIME","X","Y","Z","AZIMUTH","PITCH","ROLL"
1830,-2.9556155,1.6889231,10.310603,-3.0960593,-0.15618025,0.2791718
1851,-2.7513103,1.8387469,10.079058,-3.110406,-0.17420922,0.2664807
1870,-2.7240696,1.8387469,9.915613,-3.1212592,-0.17694429,0.26811078
1889,-2.6423476,1.56634,9.765789,-3.13403,-0.15360382,0.26424477
1908,-2.6014864,1.0760075,9.847511,3.1229966,-0.10525234,0.2582766
1929,-2.7240696,0.7627395,9.847511,3.1146438,-0.07451326,0.2698765
1950,-2.8330324,0.61291564,10.228881,3.124289,-0.057682138,0.27019128
1973,-2.6832085,0.5720546,10.419566,3.112958,-0.053117353,0.25204027
2000,-2.7513103,0.61291564,10.18802,3.1248152,-0.058014672,0.2637617
2020,-3.0645783,0.7218784,10.147159,3.1401684,-0.06799781,0.29330295
2048,-2.7921712,0.6537767,9.847511,3.1304166,-0.06378551,0.27628905
2068,-2.3018389,0.5720546,9.915613,3.1256287,-0.056138862,0.22810264
2087,-2.070293,0.3405087,9.507003,3.136037,-0.03498216,0.21441753
2148,-2.1792557,0.19068487,9.384419,-3.1207364,-0.019790055,0.22817641
2148,-1.525479,-0.14982383,9.915613,-3.13502,0.014933079,0.15264934
2165,-1.6480621,-0.10896278,10.228881,-3.122851,0.010516446,0.15974566
2184,-2.1111538,-0.14982383,10.460427,-3.0994925,0.01403891,0.19914773
2203,-2.3426998,-0.29964766,10.760075,-3.0774655,0.027203929,0.21437597
2222,-2.070293,-0.38136974,10.800936,-3.0704632,0.034663778,0.1893802
2241,-1.7570249,-0.38136974,10.419566,-3.0689712,0.036076102,0.16705586
2261,-1.525479,-0.84446156,9.847511,-3.0497842,0.08454105,0.1536885
2279,-1.3075534,-0.9125633,9.534244,-3.049427,0.09454398,0.13629264
2298,-1.2258313,-0.38136974,9.507003,-3.0719185,0.03976428,0.1282323
2317,-1.3756552,-0.10896278,9.697687,-3.0668757,0.011124127,0.14091378
2339,-1.6889231,-0.23154591,9.997335,-3.0607774,0.0228332,0.16735715
2360,-2.2201166,-0.08172209,10.528529,-3.0430977,0.007594803,0.20782217
2379,-2.4925237,0.38136974,11.304889,-3.024351,-0.032931797,0.21700993
2398,-1.7570249,0.42223078,11.727119,-3.0554721,-0.035592176,0.14871956
2419,-0.95342433,0.46309182,11.372991,-3.0931811,-0.040553983,0.083636776
2440,-0.95342433,0.6946377,10.841797,-3.12065,-0.063737586,0.08771405
2459,-1.3756552,0.27240697,10.228881,3.1342957,-0.026387414,0.13368523
2478,-1.607201,-0.46309182,9.507003,3.1013834,0.047992237,0.16747099
2499,-1.7978859,-0.9125633,9.724928,3.0934825,0.09201335,0.18280989
2520,-1.4165162,-0.9125633,10.079058,3.1116512,0.08942031,0.13962604
2540,-0.3405087,-0.53119355,9.534244,3.1322446,0.055621356,0.035699114
2561,0.27240697,-0.50395286,9.152874,-3.118296,0.054979686,-0.029753122
2594,0.42223078,-0.46309182,10.228881,-3.1161633,0.045203634,-0.041254878
2613,0.84446156,-1.2666923,11.032481,-3.1160758,0.11398373,-0.07639425
2632,0.7218784,-1.879608,10.841797,-3.120691,0.17128873,-0.06648478
2651,0.88532263,-2.070293,10.651112,-3.121175,0.19133583,-0.082929574
2670,1.0760075,-1.9885708,9.80665,-3.1087036,0.19890286,-0.109285064
